roll_no,study_hours,attendance,previous_marks,assignment_scores,pass_fail
STU2841,7.3,84.3,84.9,84.6,1
STU2741,7.4,83.7,84.7,90.0,1
STU3376,3.0,66.6,45.5,56.3,0
STU1655,10.0,84.1,87.6,81.2,1
STU3777,2.8,50.0,36.3,59.7,0
STU3856,2.5,55.8,35.0,50.9,0
STU3326,5.0,51.5,47.2,48.4,0
STU4183,3.0,68.1,42.7,46.9,0
STU4568,3.8,60.0,38.1,61.7,0
STU4571,2.8,69.9,42.6,40.0,0
STU3813,3.3,61.2,46.4,44.1,0
STU3531,2.2,74.3,45.0,47.5,0
STU1656,7.6,93.1,99.2,97.7,1
STU2910,7.7,83.6,74.8,90.5,1
STU2746,7.8,86.9,84.9,79.3,1
STU3416,3.5,60.4,43.8,43.2,0
STU3214,2.1,61.1,54.8,48.8,0
STU1412,6.2,97.2,81.5,84.3,1
STU1979,5.6,91.3,85.1,95.9,1
STU2172,7.8,91.6,71.8,83.3,1
STU2432,8.5,96.1,77.1,75.0,1
STU2075,8.7,83.6,83.6,90.1,1
STU2023,7.5,85.5,80.5,81.1,1
STU4227,2.7,83.7,45.9,54.3,0
STU1721,7.9,99.7,90.1,89.0,1
STU1153,6.7,88.1,82.7,79.6,1
STU1949,7.4,86.9,78.9,82.4,1
STU3358,2.2,50.0,45.4,52.4,0
STU2831,8.3,86.8,80.1,83.6,1
STU1103,7.1,82.8,92.8,77.1,1
STU4456,2.4,66.9,46.2,63.1,0
STU1732,6.3,98.1,81.6,78.8,1
STU1240,8.5,92.1,81.4,87.5,1
STU4352,3.7,66.3,48.7,42.9,0
STU3974,4.7,65.9,46.9,47.7,0
STU2728,8.5,94.4,80.2,73.7,1
STU3094,2.7,54.2,42.5,46.8,0
STU3841,2.4,51.8,38.3,49.8,0
STU1858,8.1,86.6,89.6,83.0,1
STU2158,10.0,88.7,100.0,79.6,1
STU1863,9.4,81.4,76.5,98.5,1
STU3520,4.4,78.9,44.3,57.5,0
STU3848,3.3,72.4,35.6,52.6,0
STU3726,2.8,56.3,53.0,68.4,0
STU4793,3.4,74.6,52.3,40.0,0
STU1756,10.0,85.3,84.4,68.3,1
STU1333,7.6,78.9,88.0,81.9,1
STU1745,8.1,72.8,94.8,78.0,1
STU4289,3.2,55.7,39.7,63.6,0
STU3644,3.4,60.3,53.4,45.8,0
STU3275,2.0,55.9,46.6,62.1,0
STU4632,3.1,59.4,35.0,45.8,0
STU4803,5.7,57.9,64.5,55.1,0
STU4780,3.6,55.3,46.4,56.1,0
STU4129,3.8,56.4,35.0,47.9,0
STU3084,4.1,74.5,44.5,45.0,0
STU3703,1.6,58.6,36.9,50.4,0
STU4963,4.0,52.4,48.3,40.0,0
STU1908,8.4,81.2,72.8,82.5,1
STU3284,1.0,63.9,51.2,46.8,0
STU2164,5.5,83.8,82.1,75.6,1
STU3184,3.4,67.0,35.0,45.1,0
STU4723,3.3,59.1,41.4,41.6,0
STU3212,3.9,65.2,44.9,63.7,0
STU3068,4.2,65.5,42.3,42.4,0
STU1555,7.9,82.8,81.4,83.0,1
STU4026,4.0,74.8,53.5,40.0,0
STU4610,3.7,56.0,35.0,41.8,0
STU1832,6.4,82.5,72.5,79.7,1
STU4432,2.3,64.8,53.3,54.7,0
STU4202,2.7,50.4,56.7,56.1,0
STU3091,2.0,58.5,49.7,49.9,0
STU2755,8.1,83.8,80.4,85.4,1
STU1812,7.0,84.2,66.7,75.0,1
STU1889,8.2,85.7,83.8,80.6,1
STU3464,2.0,55.2,43.7,49.0,0
STU3989,4.9,67.0,41.3,56.8,0
STU2660,8.9,100.0,76.6,79.1,1
STU3510,3.9,53.0,49.4,40.7,0
STU2234,10.0,99.5,79.9,90.1,1
STU4874,4.7,55.1,43.3,51.6,0
STU2449,9.0,85.7,84.6,93.7,1
STU3874,2.9,66.9,45.6,57.9,0
STU2966,7.6,90.2,83.0,81.8,1
STU1694,8.2,87.2,86.2,88.3,1
STU2058,8.9,89.2,82.2,84.8,1
STU2799,8.8,82.0,86.1,86.0,1
STU2028,7.6,90.7,78.5,77.1,1
STU2537,8.1,92.1,73.6,82.0,1
STU4433,2.9,50.0,47.8,43.8,0
STU2703,8.3,82.5,82.5,80.4,1
STU3336,3.6,61.5,35.0,58.7,0
STU1347,5.8,85.1,81.6,82.0,1
STU1924,6.7,87.6,93.3,80.0,1
STU4260,2.9,53.5,49.3,40.0,0
STU2188,7.2,93.4,83.7,99.9,1
STU1843,6.2,96.9,87.5,98.1,1
STU4279,2.7,65.4,38.4,51.4,0
STU4777,3.6,50.6,41.7,63.7,0
STU3728,4.2,50.2,42.6,52.9,0
STU3828,3.6,64.2,35.0,62.5,0
STU2421,8.1,84.4,82.3,82.0,1
STU2925,10.0,86.4,68.0,82.8,1
STU1179,7.2,100.0,96.5,96.1,1
STU3277,5.9,62.9,43.3,54.9,0
STU4186,3.1,53.7,64.5,47.9,0
STU1813,9.2,98.4,87.3,79.1,1
STU2878,7.2,89.5,85.0,87.3,1
STU2337,6.8,79.8,77.9,84.7,1
STU4159,4.7,67.2,35.0,41.5,0
STU4108,3.7,57.7,51.5,47.9,0
STU2558,6.5,88.7,90.4,84.9,1
STU3802,1.9,66.1,36.9,55.9,0
STU3177,5.0,61.4,35.0,61.9,0
STU2813,9.4,82.9,83.8,86.1,1
STU1174,7.9,88.9,74.3,75.8,1
STU3355,5.6,67.6,52.4,45.1,0
STU4058,3.1,56.6,36.3,40.0,0
STU1332,6.4,87.6,72.8,75.5,1
STU2362,8.2,77.9,82.9,89.6,1
STU1431,6.1,91.4,67.8,80.6,1
STU4653,3.4,64.1,55.7,54.0,0
STU3010,4.3,68.5,41.7,65.2,0
STU2105,8.8,83.6,85.2,89.4,1
STU3563,4.2,62.3,41.7,61.9,0
STU1480,8.8,92.2,90.4,87.1,1
STU2279,7.7,88.5,75.8,84.4,1
STU3604,3.7,52.5,42.2,54.1,0
STU1747,7.7,89.4,83.1,78.3,1
STU2770,8.2,84.7,69.0,93.2,1
STU4555,2.7,65.4,35.0,57.4,0
STU3338,1.7,75.0,49.6,45.8,0
STU4752,3.4,73.8,44.6,51.2,0
STU2941,7.9,90.3,71.4,71.2,1
STU2796,6.6,86.0,81.2,93.4,1
STU1325,6.3,88.0,75.9,81.6,1
STU2269,6.6,89.4,71.3,86.3,1
STU1469,6.9,92.1,82.9,88.7,1
STU1562,10.0,88.5,95.8,94.4,1
STU3631,1.7,71.7,60.4,44.4,0
STU3351,1.5,63.1,39.8,59.6,0
STU3079,3.6,64.9,58.4,45.5,0
STU4785,1.5,52.9,39.5,55.8,0
STU3971,2.8,65.0,43.5,53.5,0
STU3347,2.8,69.1,46.7,44.5,0
STU1062,7.3,87.2,84.2,90.1,1
STU3804,3.9,62.4,45.8,50.3,0
STU2898,9.4,92.3,90.7,84.2,1
STU3877,2.9,67.3,35.0,57.2,0
STU1255,5.7,80.5,83.9,82.3,1
STU4782,4.4,57.1,39.1,49.3,0
STU2095,8.4,82.8,81.1,89.7,1
STU2062,4.1,86.0,90.4,89.2,1
STU1916,7.8,99.1,83.7,76.0,1
STU2042,6.9,88.9,68.5,82.1,1
STU3567,4.6,72.3,49.3,44.2,0
STU1068,8.7,87.2,84.4,92.7,1
STU2872,7.2,88.9,83.7,98.3,1
STU3789,3.9,50.0,37.2,47.2,0
STU1222,5.3,84.1,88.8,84.8,1
STU2963,8.1,88.3,82.3,79.5,1
STU3409,2.5,71.2,38.3,43.2,0
STU3878,1.9,69.9,51.5,50.7,0
STU4174,1.9,59.4,49.1,50.6,0
STU1089,6.9,85.3,91.1,86.8,1
STU2808,8.1,76.2,79.1,97.1,1
STU2676,7.1,88.4,82.2,79.8,1
STU3829,3.8,57.6,48.7,58.8,0
STU2489,5.7,82.5,76.3,86.8,1
STU4033,3.7,50.0,46.3,54.5,0
STU2722,7.2,98.2,95.8,95.1,1
STU4807,3.4,50.6,38.6,42.1,0
STU1437,9.5,87.2,91.4,75.6,1
STU4580,2.8,56.2,35.0,45.1,0
STU4601,1.0,50.0,37.9,51.8,0
STU4190,5.0,50.0,44.9,50.0,0
STU4403,1.5,56.9,44.6,40.0,0
STU3348,3.5,73.2,44.6,40.0,0
STU4442,2.9,56.3,44.5,46.9,0
STU4570,2.8,56.6,35.0,40.2,0
STU2514,5.3,77.5,84.1,81.7,1
STU3649,3.5,59.1,35.0,69.3,0
STU4275,2.5,67.7,46.1,53.3,0
STU2737,6.2,85.3,86.6,100.0,1
STU2403,8.9,89.2,86.3,84.2,1
STU1284,6.0,82.1,89.8,92.1,1
STU1713,6.8,91.0,85.3,95.0,1
STU1275,6.3,81.5,65.8,82.2,1
STU3273,2.6,77.8,43.7,40.0,0
STU1622,8.1,92.7,95.8,86.3,1
STU2923,6.2,85.9,87.2,76.2,1
STU1866,7.0,86.2,68.5,92.2,1
STU4944,5.2,65.7,40.8,62.5,0
STU2643,7.4,82.1,59.3,81.9,1
STU3484,1.7,66.9,53.5,52.8,0
STU4995,4.5,65.6,42.6,47.7,0
STU1424,8.7,87.7,89.6,86.0,1
STU3992,4.2,68.2,40.3,57.3,0
STU2222,7.9,92.5,82.1,69.1,1
STU1507,6.8,100.0,87.5,93.9,1
STU4861,3.9,65.4,55.2,65.6,0
STU4564,4.7,74.8,42.0,40.0,0
STU2124,6.1,85.9,81.4,84.7,1
STU3513,3.5,61.2,42.2,42.5,0
STU1501,8.6,91.4,74.3,93.6,1
STU2109,6.8,90.7,73.4,68.4,1
STU2282,7.3,88.2,87.3,94.6,1
STU1550,6.8,100.0,80.2,89.1,1
STU1558,7.0,88.0,84.9,92.8,1
STU2602,9.1,83.7,81.2,81.4,1
STU1603,8.5,84.2,95.1,91.4,1
STU1443,5.0,80.2,86.4,75.3,1
STU2780,6.7,87.5,87.6,78.4,1
STU1219,6.9,100.0,84.6,83.1,1
STU3108,4.1,61.1,61.1,53.7,0
STU1898,7.7,98.3,73.0,77.1,1
STU1737,7.8,86.0,75.7,90.7,1
STU4324,1.4,74.8,45.1,53.6,0
STU3481,2.8,70.9,43.1,43.1,0
STU4817,3.3,69.1,45.7,65.7,0
STU3060,2.1,50.5,47.3,42.0,0
STU2905,7.4,97.7,74.9,92.8,1
STU4383,1.8,50.6,49.2,40.0,0
STU2667,6.3,92.4,87.6,77.8,1
STU4959,3.9,55.3,57.4,57.3,0
STU3830,1.8,57.2,36.2,43.3,0
STU4131,4.5,50.0,44.8,46.3,0
STU4342,3.3,57.9,39.2,44.5,0
STU3482,3.2,60.0,43.9,41.3,0
STU2205,7.6,82.3,100.0,72.8,1
STU2160,7.1,89.9,73.0,82.2,1
STU3291,3.1,54.0,41.3,40.0,0
STU2534,7.3,80.6,83.7,81.9,1
STU1806,7.1,77.3,69.2,84.1,1
STU3707,3.4,62.3,40.0,54.2,0
STU2875,9.1,83.6,92.2,100.0,1
STU4276,1.1,68.2,35.0,40.0,0
STU1579,5.7,89.7,77.5,86.8,1
STU3280,4.4,71.5,35.4,52.2,0
STU4419,3.3,59.6,46.3,47.5,0
STU2363,7.6,77.2,82.5,92.4,1
STU1001,8.1,83.9,75.1,77.2,1
STU4427,2.1,50.0,37.0,53.4,0
STU4729,2.7,58.0,47.3,43.8,0
STU4846,2.9,61.1,42.0,56.9,0
STU1965,7.4,95.3,76.8,86.4,1
STU4254,1.8,67.4,41.6,52.3,0
STU2012,7.7,96.0,87.9,85.2,1
STU1248,6.7,80.0,99.6,89.5,1
STU2426,5.1,94.4,87.2,88.8,1
STU3112,1.1,76.9,51.1,46.2,0
STU4977,5.0,63.6,52.0,56.3,0
STU4408,2.7,74.2,36.9,50.2,0
STU4794,2.1,62.2,46.7,55.0,0
STU2510,9.3,84.8,80.9,81.5,1
STU4516,1.7,74.3,35.0,65.1,0
STU1651,9.7,82.6,80.0,86.8,1
STU2968,7.3,76.7,91.8,82.3,1
STU3047,2.5,65.6,50.2,47.5,0
STU2559,9.3,87.3,81.8,78.9,1
STU4801,4.2,62.0,45.9,40.0,0
STU1176,8.5,100.0,85.9,83.2,1
STU1279,7.6,92.0,81.5,76.5,1
STU2136,8.7,90.7,82.4,88.6,1
STU4553,3.8,71.4,40.8,40.0,0
STU3485,5.4,66.6,36.5,52.5,0
STU3431,2.4,58.6,55.8,40.0,0
STU3530,2.7,62.2,45.2,45.0,0
STU4520,2.8,59.7,40.4,51.5,0
STU1692,8.9,86.5,83.9,80.1,1
STU4962,2.3,62.3,47.9,54.7,0
STU1417,9.4,91.3,84.1,76.0,1
STU3890,2.9,67.2,39.9,45.8,0
STU1218,7.2,87.6,78.1,76.6,1
STU3489,3.8,54.1,44.9,42.2,0
STU2972,4.0,81.4,82.0,89.5,1
STU4406,5.2,66.6,45.8,53.7,0
STU4112,3.8,69.7,47.6,51.5,0
STU1904,9.0,90.0,79.0,81.7,1
STU3926,3.9,53.3,44.7,47.7,0
STU1913,7.8,83.6,88.6,80.2,1
STU4470,3.1,63.0,48.6,43.0,0
STU1728,7.9,96.0,78.1,83.4,1
STU4756,4.4,71.9,38.3,43.1,0
STU4080,1.3,74.5,49.3,47.3,0
STU3826,1.7,59.8,48.9,53.6,0
STU3156,2.8,70.4,37.4,47.2,0
STU1450,6.2,83.9,94.0,87.4,1
STU2396,7.7,79.7,88.4,72.1,1
STU1377,8.5,85.8,63.0,87.5,1
STU4143,3.5,51.4,44.1,40.0,0
STU2753,6.7,95.5,93.1,90.7,1
STU4967,2.7,62.6,53.0,46.9,0
STU1434,8.4,87.0,77.5,75.6,1
STU1953,6.0,90.8,88.3,74.7,1
STU1372,8.1,84.7,77.6,83.7,1
STU4278,3.6,62.1,43.1,40.0,0
STU3397,4.2,58.2,59.3,61.6,0
STU2422,8.8,87.5,72.5,84.9,1
STU1701,6.9,90.3,74.1,93.3,1
STU3868,2.3,55.6,46.2,62.3,0
STU1645,7.2,81.5,87.1,78.2,1
STU2458,8.0,85.7,79.8,90.3,1
STU1666,7.6,79.8,80.7,78.5,1
STU2504,7.5,88.3,70.9,85.7,1
STU2428,6.2,96.3,81.8,76.8,1
STU2633,6.7,86.6,83.2,91.8,1
STU3421,3.5,70.5,37.4,51.1,0
STU2481,8.4,86.2,97.7,83.4,1
STU2165,8.7,81.1,88.4,79.8,1
STU1795,6.2,87.8,80.8,83.6,1
STU4592,2.9,52.7,57.1,48.2,0
STU1247,6.9,82.6,83.3,88.8,1
STU4816,3.4,67.6,36.7,55.0,0
STU1735,8.7,99.9,84.3,89.3,1
STU1506,6.9,83.0,85.0,83.2,1
STU3441,2.3,59.5,47.4,60.0,0
STU2190,6.3,99.0,95.8,70.8,1
STU4373,2.6,63.9,46.7,51.4,0
STU4444,3.3,65.4,47.7,53.5,0
STU2615,7.3,92.2,77.9,95.5,1
STU1533,7.4,91.3,86.0,95.8,1
STU1933,5.8,82.7,94.3,86.7,1
STU1109,7.8,86.0,80.4,88.7,1
STU2868,8.9,97.9,76.4,90.7,1
STU1950,7.8,78.2,85.5,89.9,1
STU3414,3.5,57.8,49.8,45.9,0
STU3949,3.6,56.0,60.9,56.0,0
STU4206,1.3,61.6,35.0,54.9,0
STU3224,3.7,65.4,48.6,54.4,0
STU3975,4.1,54.3,54.2,58.4,0
STU4958,2.1,65.2,51.6,56.7,0
STU1544,9.2,86.1,77.2,83.8,1
STU2766,6.5,88.1,79.4,84.8,1
STU3495,2.1,56.4,45.9,56.7,0
STU3935,3.9,64.0,54.1,58.8,0
STU1260,8.4,89.2,74.9,82.7,1
STU2515,7.4,90.6,91.6,76.8,1
STU2779,7.0,75.5,82.2,83.4,1
STU2863,8.5,88.0,79.3,75.1,1
STU2296,7.4,81.5,80.6,82.1,1
STU1928,8.0,89.3,83.9,77.1,1
STU1613,7.8,86.8,93.5,76.4,1
STU3632,2.9,62.8,44.2,40.5,0
STU2232,5.9,75.8,86.0,96.8,1
STU1220,7.6,86.5,67.6,94.6,1
STU4130,4.3,69.8,52.5,40.0,0
STU1486,5.8,93.2,69.2,100.0,1
STU3317,3.0,71.8,59.6,56.6,0
STU3165,1.3,50.0,57.5,41.7,0
STU4522,5.4,50.0,38.0,42.6,0
STU3993,3.0,57.2,55.4,51.7,0
STU1259,8.0,72.4,81.3,78.0,1
STU4843,2.6,68.1,46.2,44.7,0
STU1387,7.9,86.6,76.5,84.8,1
STU1848,10.0,83.0,77.8,88.3,1
STU3574,4.5,65.3,35.0,40.5,0
STU4234,3.1,60.8,57.3,46.8,0
STU4613,2.7,65.8,36.6,59.9,0
STU4102,4.3,54.1,35.0,40.0,0
STU3862,3.3,51.3,41.0,47.0,0
STU2624,6.7,88.3,85.8,79.9,1
STU2002,8.6,82.8,78.4,72.6,1
STU1210,10.0,88.0,73.0,80.4,1
STU4621,3.6,59.5,56.5,56.4,0
STU3092,4.1,52.9,35.0,47.8,0
STU2949,8.9,86.3,68.7,91.8,1
STU1911,7.1,84.8,77.9,70.2,1
STU2719,8.4,86.9,86.4,82.9,1
STU3553,3.8,51.6,49.2,63.2,0
STU3985,3.0,69.6,51.5,40.0,0
STU3164,3.2,61.2,45.5,63.1,0
STU1597,7.2,84.4,79.8,81.5,1
STU2951,5.4,91.1,83.1,75.1,1
STU4765,3.4,61.4,45.3,62.1,0
STU1297,8.6,90.5,73.6,78.5,1
STU4717,3.5,65.0,52.6,56.3,0
STU1508,6.5,95.5,84.1,88.4,1
STU3865,3.7,61.6,43.5,57.4,0
STU1008,8.4,83.1,77.0,73.9,1
STU3253,1.1,66.2,63.9,41.6,0
STU4055,1.3,68.6,37.8,48.4,0
STU3030,3.3,61.3,52.6,61.9,0
STU3149,3.5,50.0,42.5,55.8,0
STU3087,1.0,54.3,51.3,61.0,0
STU4118,4.0,61.4,44.5,46.1,0
STU3551,1.7,56.5,49.1,43.5,0
STU4359,2.8,56.6,35.0,43.8,0
STU1178,9.2,89.1,84.5,76.5,1
STU4854,2.5,65.5,39.6,42.0,0
STU3779,4.5,65.1,35.0,49.0,0
STU1791,8.0,91.6,79.9,84.4,1
STU2335,7.7,96.4,75.8,86.7,1
STU1679,8.6,88.6,88.9,80.4,1
STU4454,3.5,53.7,45.6,56.7,0
STU4013,1.0,60.9,35.0,57.4,0
STU2437,7.2,91.4,81.5,79.6,1
STU1097,7.9,92.0,86.8,77.0,1
STU1044,7.1,88.9,84.4,82.5,1
STU2815,7.2,80.4,62.5,85.8,1
STU2491,6.8,86.0,78.7,83.1,1
STU2229,8.7,92.7,86.8,86.1,1
STU1760,8.3,91.7,87.8,86.1,1
STU4627,3.4,56.1,39.9,47.5,0
STU3019,5.5,56.3,50.1,46.7,0
STU3750,2.9,60.7,41.6,41.6,0
STU4067,2.2,59.6,64.2,55.3,0
STU1026,7.6,89.1,79.5,85.8,1
STU3303,2.4,77.1,55.4,61.8,0
STU2611,7.1,88.2,87.3,86.6,1
STU1680,9.0,86.4,84.0,81.2,1
STU2843,6.8,93.9,70.1,89.6,1
STU3645,3.5,55.7,47.5,50.8,0
STU2223,8.3,96.2,80.2,83.6,1
STU1782,5.9,84.1,84.3,85.1,1
STU4668,2.8,57.7,57.4,40.0,0
STU4814,4.4,74.5,42.9,46.8,0
STU3339,3.4,57.8,48.9,42.5,0
STU2357,6.8,88.5,68.9,87.1,1
STU2616,10.0,92.4,61.6,77.4,1
STU4128,2.3,53.3,41.0,52.1,0
STU3383,3.3,54.6,39.5,63.3,0
STU3148,5.0,60.8,51.5,69.1,0
STU1884,8.8,90.7,85.8,83.7,1
STU1383,5.0,90.1,76.7,81.4,1
STU3836,3.2,60.1,36.4,49.0,0
STU2338,7.1,87.1,75.6,72.8,1
STU3753,3.9,50.0,35.5,50.2,0
STU1032,9.7,82.2,70.7,82.0,1
STU3182,3.5,63.8,47.4,62.7,0
STU3035,2.8,50.0,55.4,45.8,0
STU4608,3.7,63.8,54.3,56.9,0
STU1611,8.3,91.9,82.5,89.8,1
STU1571,7.5,88.2,77.2,84.1,1
STU1344,6.9,84.8,90.2,83.8,1
STU2886,7.8,91.2,95.4,88.3,1
STU2651,8.2,90.4,80.6,92.7,1
STU4039,4.1,63.3,50.6,40.9,0
STU3497,3.8,50.1,52.4,44.8,0
STU2048,5.6,86.0,81.8,84.3,1
STU4629,2.3,82.1,48.5,40.0,0
STU2072,8.1,98.2,80.2,78.4,1
STU2812,7.7,90.5,93.5,83.8,1
STU4487,3.0,50.0,49.5,40.0,0
STU3536,4.0,52.3,35.0,40.0,0
STU1966,9.2,86.4,80.1,88.8,1
STU1529,7.8,100.0,81.6,85.1,1
STU1177,7.5,78.4,81.9,83.9,1
STU1423,7.2,86.6,92.0,94.1,1
STU4369,4.3,51.7,43.5,48.1,0
STU4242,3.1,71.1,38.8,57.9,0
STU3020,4.3,76.4,46.7,48.9,0
STU1573,7.9,86.2,88.5,100.0,1
STU4538,4.3,63.5,51.2,40.0,0
STU1289,7.8,84.4,94.1,95.1,1
STU3659,3.3,67.4,48.8,53.6,0
STU3922,3.6,51.1,48.2,40.0,0
STU3633,4.9,59.3,43.8,48.3,0
STU2591,6.2,94.4,77.6,79.1,1
STU4943,5.4,68.3,35.0,47.0,0
STU3100,3.4,57.3,46.3,51.8,0
STU2392,6.7,83.2,83.3,85.5,1
STU3855,3.0,55.5,35.6,53.5,0
STU2740,9.6,79.9,82.8,89.3,1
STU2730,9.7,74.1,81.6,86.2,1
STU2919,7.3,93.7,87.2,80.2,1
STU4101,2.8,65.0,47.1,61.8,0
STU1371,7.5,87.1,68.1,83.2,1
STU4293,1.5,71.4,49.4,46.4,0
STU4713,1.8,71.1,51.4,51.1,0
STU3635,2.0,64.5,45.2,54.8,0
STU4412,2.2,50.0,48.3,56.1,0
STU3070,2.8,59.2,56.9,42.7,0
STU1142,9.1,88.3,95.1,84.7,1
STU4356,3.7,73.4,43.9,46.7,0
STU1492,9.3,83.9,74.3,78.7,1
STU1199,7.6,84.2,57.9,82.9,1
STU2789,7.9,89.1,68.0,84.6,1
STU3527,2.8,57.5,36.4,50.3,0
STU4925,3.3,58.0,62.2,59.5,0
STU2457,8.4,94.5,77.0,78.6,1
STU1196,8.0,84.0,78.0,84.0,1
STU1875,7.5,87.8,77.1,75.6,1
STU3440,3.8,56.7,50.4,40.9,0
STU4824,2.7,71.9,51.1,40.0,0
STU1841,7.4,89.8,75.5,80.5,1
STU1582,7.0,90.3,74.1,86.7,1
STU4949,3.0,55.4,66.9,42.5,0
STU1906,7.6,92.5,89.4,87.0,1
STU1632,9.3,90.8,77.7,88.2,1
STU3577,3.2,60.5,57.5,48.3,0
STU1163,8.9,91.0,79.9,76.2,1
STU3074,2.3,65.7,35.0,52.2,0
STU3081,2.4,76.8,55.1,44.3,0
STU2761,9.5,89.9,82.2,94.2,1
STU3662,1.7,64.0,44.6,59.7,0
STU1926,5.7,89.5,78.0,75.7,1
STU2833,8.6,94.2,73.2,89.5,1
STU1548,7.3,84.6,81.5,79.3,1
STU3294,5.6,60.6,57.8,47.8,0
STU2189,8.2,93.4,74.7,83.0,1
STU3000,6.6,90.2,72.6,99.5,1
STU3098,4.5,64.4,40.2,57.4,0
STU1612,7.4,81.2,65.8,91.7,1
STU3195,3.3,59.3,50.7,41.0,0
STU4662,3.5,57.3,49.6,44.7,0
STU2508,8.6,87.6,61.7,79.6,1
STU2870,7.0,94.0,78.9,90.1,1
STU1743,6.8,88.3,82.0,74.0,1
STU1638,7.6,93.6,72.2,75.8,1
STU4536,2.7,73.2,52.2,65.6,0
STU3016,4.7,62.3,40.8,49.5,0
STU4762,2.3,68.5,47.7,47.6,0
STU2098,5.1,91.5,73.0,84.6,1
STU2484,7.0,87.6,82.3,82.8,1
STU1049,7.9,86.0,81.2,75.6,1
STU2352,5.3,86.0,85.0,85.9,1
STU1922,6.3,92.5,84.4,80.6,1
STU4563,3.8,52.5,35.0,49.9,0
STU1757,8.1,89.2,70.0,87.4,1
STU3125,2.8,59.8,52.2,67.1,0
STU3367,3.8,53.9,43.0,45.1,0
STU2468,8.0,88.8,84.0,82.4,1
STU4643,3.5,74.1,35.0,45.6,0
STU2695,7.7,93.2,95.7,89.3,1
STU2323,7.4,78.7,90.7,81.8,1
STU2177,5.5,79.2,71.6,93.3,1
STU2948,7.5,90.6,91.3,90.6,1
STU2214,8.6,97.1,85.2,82.2,1
STU4934,2.4,69.3,42.6,55.5,0
STU3534,4.7,68.5,53.7,57.3,0
STU3288,2.1,62.1,35.0,52.1,0
STU3782,4.3,50.0,35.0,45.8,0
STU3678,3.7,63.4,48.9,43.6,0
STU2071,7.4,80.4,72.6,93.4,1
STU4730,3.6,66.3,48.0,45.9,0
STU3831,2.8,73.5,52.5,55.1,0
STU3442,4.7,57.7,39.8,54.6,0
STU4604,2.8,62.8,55.8,61.5,0
STU2715,6.9,94.1,85.2,94.1,1
STU4022,5.0,50.0,53.1,51.1,0
STU3197,3.9,64.2,39.7,51.1,0
STU2150,6.5,82.6,84.6,79.8,1
STU4087,5.4,63.8,54.7,40.0,0
STU3229,2.9,57.7,52.7,47.0,0
STU3964,2.9,64.3,57.8,49.7,0
STU3610,2.4,56.6,47.5,62.1,0
STU2552,7.3,78.6,85.3,98.4,1
STU3555,4.2,70.1,41.5,45.9,0
STU2289,6.2,84.2,77.2,91.0,1
STU4862,3.7,53.9,57.3,61.9,0
STU3808,3.2,61.9,42.4,45.0,0
STU2642,9.2,86.9,77.5,85.6,1
STU1868,7.9,82.7,81.7,79.4,1
STU1927,6.8,87.3,78.4,85.1,1
STU4211,1.6,70.0,52.3,57.5,0
STU1998,8.3,80.5,100.0,81.3,1
STU4021,3.4,66.4,43.7,55.5,0
STU2830,7.5,90.9,92.9,77.0,1
STU2133,9.4,77.6,85.1,89.1,1
STU2341,7.7,92.2,73.6,80.8,1
STU4675,3.9,50.0,43.3,44.1,0
STU1211,8.2,80.5,79.9,91.9,1
STU4980,1.3,79.9,46.9,59.1,0
STU1060,8.7,89.2,80.1,89.2,1
STU4671,3.4,50.0,59.3,46.1,0
STU3620,4.9,50.0,46.9,54.9,0
STU4898,2.9,64.2,35.0,43.5,0
STU4947,1.0,66.6,71.3,59.3,0
STU1766,6.7,92.9,84.0,87.9,1
STU3103,2.7,50.0,43.8,58.0,0
STU4230,3.2,62.1,50.0,49.4,0
STU2079,9.3,89.4,84.7,88.9,1
STU3660,3.3,52.6,49.9,51.5,0
STU4743,1.6,61.1,39.1,54.9,0
STU3045,4.2,55.4,58.4,51.0,0
STU3067,4.5,59.8,47.8,55.4,0
STU1583,8.3,87.7,82.0,83.1,1
STU3124,3.2,50.0,42.5,45.1,0
STU4529,3.4,66.8,59.3,42.9,0
STU4617,4.3,59.2,47.9,46.9,0
STU1941,6.0,94.0,86.7,82.0,1
STU2081,7.1,95.2,74.1,87.4,1
STU1188,7.4,86.4,76.3,93.2,1
STU4106,2.8,50.0,35.0,64.9,0
STU3311,2.2,62.8,58.1,50.2,0
STU3677,3.4,70.8,50.2,46.8,0
STU4095,4.5,57.2,54.9,52.8,0
STU4820,4.4,67.3,46.4,55.9,0
STU2601,7.3,83.1,80.5,84.1,1
STU4857,2.3,60.1,37.1,45.5,0
STU1227,7.6,96.5,97.0,75.0,1
STU2613,8.6,86.9,90.3,79.3,1
STU1536,7.6,86.2,76.9,90.7,1
STU4849,2.3,50.0,46.2,58.8,0
STU4216,4.5,70.9,49.1,63.4,0
STU4127,3.8,53.9,53.4,53.6,0
STU1698,6.0,80.1,92.2,92.9,1
STU4614,1.1,54.7,39.2,53.4,0
STU3375,3.0,63.1,38.2,56.0,0
STU2778,7.5,80.6,79.2,77.9,1
STU4625,1.9,79.4,40.3,48.5,0
STU3805,3.6,69.4,37.3,54.1,0
STU2038,5.7,89.0,76.5,78.5,1
STU1209,8.1,86.1,75.1,84.6,1
STU2847,9.0,94.5,100.0,78.8,1
STU1566,7.0,85.6,77.4,90.0,1
